Name,Created,Tags
Company Home,"November 6, 2019 6:14 AM",
Job Board,"November 6, 2019 6:15 AM",
Content Calendar,"November 6, 2019 4:52 PM",
Roadmap,"November 7, 2019 8:24 AM",
Meeting Notes,"November 7, 2019 8:26 AM",
Docs,"November 7, 2019 8:26 AM",
Brainstorming,"March 5, 2021 11:30 AM",
Funding OS,"March 5, 2021 12:03 PM",
Simple PRD,"March 5, 2021 12:13 PM",
Idea to MVP,"March 5, 2021 12:20 PM",
Pitch Deck,"March 5, 2021 12:25 PM",
Go to Market (GTM) Plan,"August 13, 2021 6:09 PM",
Headspace's design system,"August 23, 2021 9:42 PM",
Synctera's monthly company retro,"August 24, 2021 3:18 PM",
Mixpanel's daily stand up & tasks,"August 24, 2021 5:10 PM",
Buffer's OKRs,"August 24, 2021 5:11 PM",
Multiverse's jobs board,"August 30, 2021 9:07 PM",
Vision to Values,"September 21, 2021 4:53 PM",
Edlyft's product-market fit system,"September 22, 2021 5:45 PM",
Match Group's roadmap,"September 22, 2021 6:10 PM",
Deel's press release brief,"September 22, 2021 6:16 PM",
Harmonic.ai's roadmap,"October 1, 2021 5:01 PM",
Cron's job postings,"October 13, 2021 11:30 AM",
Netflix's branding framework,"October 19, 2021 1:54 PM",
Merci Grace's remote brand sprint,"October 26, 2021 2:04 PM",
Merci Grace's product spec,"October 26, 2021 2:20 PM",
Merci Grace's zero to one framework,"October 26, 2021 2:23 PM",
Merci Grace's company spec,"October 26, 2021 2:35 PM",
Merci Grace's landing page,"October 26, 2021 2:38 PM",
Merci Grace's willingness-to-pay interview,"October 26, 2021 2:43 PM",
Blinkist's hiring wiki,"November 3, 2021 8:21 PM",
Pitch deck,"November 8, 2021 8:57 PM",
Investor update,"November 8, 2021 8:57 PM",
Fundraising tracker,"November 8, 2021 9:03 PM",
Team wiki,"November 8, 2021 9:06 PM",
Data room,"November 8, 2021 9:13 PM",
HotSwap's CRM,"November 15, 2021 8:00 PM",